"","club","sofifa_id","player_url","short_name","long_name","age","dob","height_cm","weight_kg","nationality","overall","potential","value_eur","wage_eur","player_positions","preferred_foot","international_reputation","weak_foot","skill_moves","work_rate","body_type","real_face","release_clause_eur","player_tags","team_position","team_jersey_number","loaned_from","joined","contract_valid_until","nation_position","nation_jersey_number","pace","shooting","passing","dribbling","defending","physic","gk_diving","gk_handling","gk_kicking","gk_reflexes","gk_speed","gk_positioning","player_traits","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","ls","st","rs","lw","lf","cf","rf","rw","lam","cam","ram","lm","lcm","cm","rcm","rm","lwb","ldm","cdm","rdm","rwb","lb","lcb","cb","rcb","rb","league","country","player_positions.first","player_positions.class"
"1177","Everton",229605,"https://sofifa.com/player/229605/callum-connolly/20/159586","C. Connolly","Callum Connolly",21,"1997-09-23",183,70,"England",69,81,1800000,20000,"CDM, CM, RB","Right",1,3,3,"High/High","Lean","No",3700000,"","RES",35,"","2015-07-01",2021,"",NA,60,61,65,67,69,64,NA,NA,NA,NA,NA,NA,"",65,60,70,69,32,66,59,49,68,69,61,60,68,63,72,69,68,68,56,63,77,67,62,61,50,65,69,69,68,5,9,15,7,14,63,63,63,64,64,64,64,64,64,64,64,64,66,66,66,64,66,67,67,67,66,66,67,67,67,66,"Premier League","England","CDM","Midfielder"
"1178","Everton",205525,"https://sofifa.com/player/205525/bernard-anicio-caldeira-duarte/20/159586","Bernard","Bernard  Anício Caldeira Duarte",26,"1992-09-08",164,60,"Brazil",80,80,16000000,88000,"LM","Right",2,4,4,"High/Medium","Lean","Yes",30400000,"#Acrobat","LM",20,"","2018-08-09",2022,"",NA,87,69,76,85,38,44,NA,NA,NA,NA,NA,NA,"Selfish, Early Crosser",80,69,59,77,68,84,78,69,68,84,90,84,94,80,95,76,61,71,30,65,41,42,74,75,57,73,31,39,25,6,11,13,10,12,72,72,72,79,77,77,77,79,78,78,78,79,72,72,72,79,62,56,56,56,62,58,45,45,45,58,"Premier League","England","LM","Midfielder"
"1179","Everton",192991,"https://sofifa.com/player/192991/cenk-tosun/20/159586","C. Tosun","Cenk Tosun",28,"1991-06-07",183,78,"Turkey",77,77,9000000,80000,"ST","Right",2,4,3,"High/Medium","Normal","Yes",17100000,"","SUB",14,"","2018-01-05",2022,"RS",9,71,77,66,73,36,73,NA,NA,NA,NA,NA,NA,"Long Passer (CPU AI Only)",64,77,79,70,72,72,72,73,60,75,69,72,71,76,66,82,80,69,74,71,75,31,78,61,85,75,33,34,15,12,14,12,12,9,75,75,75,71,73,73,73,71,71,71,71,70,65,65,65,70,54,54,54,54,54,51,50,50,50,51,"Premier League","England","ST","Forward"
"1180","Everton",201042,"https://sofifa.com/player/201042/djibril-sidibe/20/159586","D. Sidibé","Djibril Sidibé",26,"1992-07-29",182,71,"France",77,78,9000000,65000,"RB","Right",2,4,3,"High/Medium","Normal","No",NA,"","SUB",19,"AS Monaco","",2020,"",NA,77,62,74,74,73,79,NA,NA,NA,NA,NA,NA,"",76,60,69,78,42,74,77,73,72,75,75,79,70,75,69,69,83,91,73,68,76,73,73,68,43,73,70,75,75,10,16,9,12,7,70,70,70,72,72,72,72,72,72,72,72,74,74,74,74,74,76,75,75,75,76,75,73,73,73,75,"Premier League","England","RB","Defender"
"1181","Everton",213655,"https://sofifa.com/player/213655/alex-iwobi/20/159586","A. Iwobi","Alex Iwobi",23,"1996-05-03",185,75,"Nigeria",79,84,17000000,72000,"LM, LW, RM","Right",1,3,4,"High/Medium","Normal","Yes",33600000,"","SUB",17,"","2019-08-08",2024,"",NA,80,64,74,83,28,68,NA,NA,NA,NA,NA,NA,"Selfish, Early Crosser, Crowd Favourite",69,66,42,81,51,84,68,40,66,84,78,81,78,75,75,70,47,74,72,54,54,24,76,81,59,72,30,26,23,14,7,12,14,11,70,70,70,77,76,76,76,77,77,77,77,77,71,71,71,77,57,55,55,55,57,52,43,43,43,52,"Premier League","England","LM","Midfielder"
"1182","Everton",208339,"https://sofifa.com/player/208339/oumar-niasse/20/159586","O. Niasse","El-Hadji Baye Oumar Niasse",29,"1990-04-18",182,82,"Senegal",73,73,4000000,60000,"ST","Right",1,3,3,"High/Medium","Lean","Yes",7600000,"","SUB",29,"","2016-02-01",2020,"",NA,73,72,55,72,29,69,NA,NA,NA,NA,NA,NA,"Injury Free, Early Crosser",56,71,74,62,71,73,63,39,35,72,75,71,68,70,67,76,67,68,72,69,64,35,73,61,67,66,19,23,24,16,6,12,10,8,71,71,71,68,70,70,70,68,67,67,67,66,59,59,59,66,51,47,47,47,51,48,45,45,45,48,"Premier League","England","ST","Forward"
"1183","Everton",180216,"https://sofifa.com/player/180216/seamus-coleman/20/159586","S. Coleman","Séamus Coleman",30,"1988-10-11",177,77,"Republic of Ireland",79,79,10000000,76000,"RB","Right",2,3,3,"High/High","Normal","Yes",19000000,"","RB",23,"","2009-02-04",2022,"RB",2,74,65,73,77,79,71,NA,NA,NA,NA,NA,NA,"Giant Throw-in",79,61,69,78,64,77,65,53,69,78,75,73,73,78,74,75,71,77,65,66,80,79,72,70,55,82,78,82,80,5,15,10,13,7,71,71,71,74,73,73,73,74,73,73,73,74,74,74,74,74,78,77,77,77,78,77,76,76,76,77,"Premier League","England","RB","Defender"
"1184","Everton",221479,"https://sofifa.com/player/221479/dominic-calvert-lewin/20/159586","D. Calvert-Lewin","Dominic Calvert-Lewin",22,"1997-03-16",187,71,"England",77,83,12500000,68000,"ST","Right",1,3,3,"High/Medium","Lean","Yes",26300000,"","ST",9,"","2016-08-31",2023,"",NA,84,70,63,75,38,79,NA,NA,NA,NA,NA,NA,"Early Crosser",65,70,81,70,65,76,59,54,44,76,82,86,72,75,64,77,87,80,81,63,73,34,77,64,72,69,38,31,23,12,12,8,7,11,75,75,75,73,74,74,74,73,71,71,71,72,64,64,64,72,58,54,54,54,58,55,53,53,53,55,"Premier League","England","ST","Forward"
"1185","Everton",247343,"https://sofifa.com/player/247343/manasse-mampala/20/159586","M. Mampala","Manasse Mampala",18,"2000-07-18",183,75,"England",63,79,775000,6000,"ST, LW, RW","Right",1,3,3,"Medium/Medium","Lean","No",2000000,"","RES",67,"","2018-07-10",2020,"",NA,76,59,52,62,33,61,NA,NA,NA,NA,NA,NA,"",60,62,63,56,55,62,50,44,35,60,79,74,69,58,67,59,58,53,65,54,60,32,60,54,59,62,25,34,29,13,8,6,10,15,61,61,61,61,60,60,60,61,58,58,58,59,51,51,51,59,49,44,44,44,49,47,44,44,44,47,"Premier League","England","ST","Forward"
"1186","Everton",204935,"https://sofifa.com/player/204935/jordan-pickford/20/159586","J. Pickford","Jordan Pickford",25,"1994-03-07",185,77,"England",83,86,24000000,78000,"GK","Left",1,4,1,"Medium/Medium","Normal","Yes",47400000,"","GK",1,"","2017-06-15",2024,"GK",1,NA,NA,NA,NA,NA,NA,82,78,87,86,48,82,"Leadership, Swerve Pass, Flair Passes",17,19,15,55,20,14,18,16,56,40,53,44,55,84,55,65,77,45,70,13,42,24,18,68,45,68,21,20,12,82,78,87,82,86,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Premier League","England","GK","Goal Keeper"
"1187","Everton",242965,"https://sofifa.com/player/242965/fraser-hornby/20/159586","F. Hornby","Fraser Hornby",19,"1999-09-13",188,77,"Scotland",62,81,650000,8000,"ST","Right",1,2,2,"Medium/Medium","Normal","No",1600000,"","RES",45,"","2018-07-04",2021,"",NA,54,61,48,61,23,62,NA,NA,NA,NA,NA,NA,"",35,65,63,54,50,64,53,40,44,60,55,53,55,58,60,62,65,48,71,55,56,16,62,52,59,58,19,21,19,6,15,11,8,13,61,61,61,56,59,59,59,56,57,57,57,55,51,51,51,55,38,40,40,40,38,37,38,38,38,37,"Premier League","England","ST","Forward"
"1188","Everton",230005,"https://sofifa.com/player/230005/tom-davies/20/159586","T. Davies","Tom Davies",21,"1998-06-30",185,70,"England",75,82,9500000,46000,"CM, CAM, CDM","Right",1,3,3,"High/Medium","Lean","Yes",20000000,"","SUB",26,"","2015-09-20",2023,"",NA,66,62,73,76,65,69,NA,NA,NA,NA,NA,NA,"",66,64,57,80,42,76,58,61,74,77,67,66,74,69,71,70,56,73,63,58,83,63,70,76,49,75,64,69,66,11,12,9,14,10,67,67,67,71,71,71,71,71,73,73,73,72,73,73,73,72,69,71,71,71,69,68,66,66,66,68,"Premier League","England","CM","Midfielder"
"1189","Everton",220523,"https://sofifa.com/player/220523/yerry-mina/20/159586","Y. Mina","Yerry Mina",24,"1994-09-23",195,94,"Colombia",78,83,12500000,59000,"CB","Right",1,3,2,"Medium/Medium","Normal","Yes",24700000,"#Aerial Threat, #Strength","LCB",13,"","2018-08-09",2023,"RCB",13,51,54,55,56,78,80,NA,NA,NA,NA,NA,NA,"Long Passer (CPU AI Only)",43,51,86,70,41,60,38,30,52,53,45,56,50,72,32,70,70,66,88,50,80,75,48,54,53,78,76,79,75,10,8,12,9,12,61,61,61,54,57,57,57,54,57,57,57,56,60,60,60,56,65,69,69,69,65,67,76,76,76,67,"Premier League","England","CB","Defender"
"1190","Everton",189157,"https://sofifa.com/player/189157/yannick-bolasie/20/159586","Y. Bolasie","Yannick Bolasie Yala",30,"1989-05-24",188,84,"DR Congo",75,75,6500000,63000,"LM, RM, ST","Right",2,4,5,"Medium/Low","Normal","Yes",12400000,"","RES",31,"","2016-08-15",2021,"",NA,81,69,69,79,34,75,NA,NA,NA,NA,NA,NA,"Selfish, Crowd Favourite",74,66,70,71,56,81,65,49,65,81,78,83,74,73,68,80,85,66,78,68,76,31,71,68,65,75,29,34,17,8,9,12,14,6,73,73,73,74,74,74,74,74,73,73,73,74,67,67,67,74,56,55,55,55,56,53,50,50,50,53,"Premier League","England","LM","Midfielder"
"1191","Everton",207599,"https://sofifa.com/player/207599/michael-keane/20/159586","M. Keane","Michael Keane",26,"1993-01-11",191,82,"England",80,83,16500000,80000,"CB","Right",2,3,2,"Medium/High","Normal","Yes",32600000,"","RCB",5,"","2017-07-03",2022,"",NA,60,49,62,66,80,79,NA,NA,NA,NA,NA,NA,"Long Passer (CPU AI Only)",60,50,81,70,40,66,53,33,69,68,56,63,56,76,60,58,83,68,86,46,73,77,29,56,48,73,80,81,82,16,7,8,14,11,59,59,59,59,58,58,58,59,60,60,60,61,64,64,64,61,71,74,74,74,71,73,78,78,78,73,"Premier League","England","CB","Defender"
"1192","Everton",177358,"https://sofifa.com/player/177358/morgan-schneiderlin/20/159586","M. Schneiderlin","Morgan Schneiderlin",29,"1989-11-08",185,75,"France",77,77,7500000,68000,"CDM, CM","Right",2,3,3,"Low/High","Lean","Yes",14300000,"","SUB",18,"","2017-01-12",2021,"",NA,56,60,71,71,75,76,NA,NA,NA,NA,NA,NA,"Injury Prone",65,58,69,78,56,68,68,63,72,77,57,55,65,74,67,71,65,76,75,56,81,77,63,67,56,73,75,76,75,6,11,12,14,7,66,66,66,66,67,67,67,66,68,68,68,68,72,72,72,68,72,75,75,75,72,72,74,74,74,72,"Premier League","England","CDM","Midfielder"
"1193","Everton",251198,"https://sofifa.com/player/251198/ellis-simms/20/159586","E. Simms","Ellis Simms",18,"2001-01-05",183,73,"England",64,84,950000,7000,"ST","Right",1,4,3,"High/Medium","Normal","No",2800000,"","RES",56,"","2019-07-01",2023,"",NA,77,64,50,59,25,58,NA,NA,NA,NA,NA,NA,"",45,66,59,54,60,57,54,49,44,59,76,78,66,58,66,64,60,55,60,59,58,21,63,52,64,64,19,24,19,13,10,14,11,9,62,62,62,60,60,60,60,60,58,58,58,58,51,51,51,58,43,41,41,41,43,41,38,38,38,41,"Premier League","England","ST","Forward"
"1194","Everton",204519,"https://sofifa.com/player/204519/cuco-martina/20/159586","C. Martina","Rhu-endly Martina",29,"1989-09-25",185,77,"Curacao",70,70,1500000,35000,"RB, LB","Right",1,3,2,"Medium/Medium","Lean","Yes",2800000,"","RES",30,"","2017-07-17",2020,"",NA,63,52,65,64,70,73,NA,NA,NA,NA,NA,NA,"Inflexible, Dives Into Tackles (CPU AI Only)",74,45,64,68,44,62,65,45,60,66,61,64,67,69,59,61,87,74,71,60,71,69,58,59,51,65,70,71,71,13,14,14,14,12,59,59,59,62,61,61,61,62,62,62,62,63,64,64,64,63,69,68,68,68,69,69,69,69,69,69,"Premier League","England","RB","Defender"
"1195","Everton",163631,"https://sofifa.com/player/163631/leighton-baines/20/159586","L. Baines","Leighton Baines",34,"1984-12-11",170,70,"England",75,75,2300000,57000,"LB","Left",3,3,3,"High/Medium","Lean","Yes",4400000,"","SUB",3,"","2007-08-07",2020,"",NA,56,68,77,75,76,59,NA,NA,NA,NA,NA,NA,"Dives Into Tackles (CPU AI Only), Giant Throw-in",82,59,74,78,63,74,79,81,74,79,60,53,66,77,81,82,67,55,55,71,74,77,69,71,88,84,75,77,76,8,15,10,13,12,69,69,69,71,71,71,71,71,72,72,72,71,73,73,73,71,73,74,74,74,73,72,73,73,73,72,"Premier League","England","LB","Defender"
"1196","Everton",172553,"https://sofifa.com/player/172553/jonas-lossl/20/159586","J. Lössl","Jonas Lössl",30,"1989-02-01",195,88,"Denmark",75,76,5000000,46000,"GK","Right",1,2,1,"Medium/Medium","Lean","Yes",9900000,"","SUB",49,"","2019-07-01",2022,"",NA,NA,NA,NA,NA,NA,NA,74,76,67,77,32,74,"Giant Throw-in, Swerve Pass, Acrobatic Clearance",14,12,17,35,11,15,14,13,39,19,29,34,32,71,30,50,51,25,67,15,17,20,10,53,12,56,20,13,15,74,76,67,74,77,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Premier League","England","GK","Goal Keeper"
"1197","Everton",214947,"https://sofifa.com/player/214947/jean-philippe-gbamin/20/159586","J. Gbamin","Jean-Philippe Gbamin",23,"1995-09-25",186,83,"Ivory Coast",79,84,15500000,65000,"CDM, CM, CB","Right",1,3,3,"Medium/High","Normal","No",30600000,"","RDM",25,"","2019-08-02",2024,"SUB",4,80,57,73,74,78,83,NA,NA,NA,NA,NA,NA,"Argues with Officials",69,40,71,78,53,75,62,60,74,77,74,85,67,76,65,82,77,83,83,71,85,79,65,72,40,72,79,80,71,11,13,8,14,10,68,68,68,70,70,70,70,70,71,71,71,72,74,74,74,72,76,78,78,78,76,76,78,78,78,76,"Premier League","England","CDM","Midfielder"
"1198","Everton",183427,"https://sofifa.com/player/183427/fabian-delph/20/159586","F. Delph","Fabian Delph",29,"1989-11-21",174,78,"England",77,77,7500000,68000,"LB, CM","Left",2,3,3,"Medium/High","Lean","Yes",14300000,"","SUB",8,"","2019-07-15",2022,"",NA,69,70,76,79,73,74,NA,NA,NA,NA,NA,NA,"Power Free-Kick, Argues with Officials",73,64,60,82,59,77,72,53,76,82,71,67,82,78,85,82,67,87,64,75,84,76,68,73,65,76,70,77,75,10,9,14,11,6,71,71,71,74,74,74,74,74,75,75,75,75,77,77,77,75,76,77,77,77,76,75,73,73,73,75,"Premier League","England","LB","Defender"
"1199","Everton",231943,"https://sofifa.com/player/231943/richarlison-de-andrade/20/159586","Richarlison","Richarlison de Andrade",22,"1997-05-10",181,71,"Brazil",79,84,17000000,72000,"RM, LM, ST","Right",1,5,4,"High/Medium","Normal","Yes",33600000,"","RM",7,"","2018-07-24",2023,"",NA,84,77,72,81,45,79,NA,NA,NA,NA,NA,NA,"Injury Free, Selfish, Crowd Favourite",72,81,77,76,70,84,74,65,60,80,82,86,78,79,72,82,80,79,77,67,82,35,81,74,73,80,46,44,36,12,7,8,11,13,79,79,79,79,79,79,79,79,77,77,77,78,71,71,71,78,63,61,61,61,63,60,58,58,58,60,"Premier League","England","RM","Midfielder"
"1200","Everton",238062,"https://sofifa.com/player/238062/beni-baningime/20/159586","B. Baningime","Beni Baningime",20,"1998-09-09",178,70,"DR Congo",67,77,1100000,14000,"CDM, CM","Right",1,3,2,"Medium/Medium","Lean","Yes",2400000,"","RES",34,"","2016-10-13",2022,"",NA,55,46,64,65,65,61,NA,NA,NA,NA,NA,NA,"",51,36,55,73,37,66,45,47,66,62,53,57,64,64,70,61,63,62,58,55,66,69,45,68,48,71,66,65,68,9,14,10,12,14,53,53,53,57,57,57,57,57,61,61,61,59,64,64,64,59,63,66,66,66,63,63,64,64,64,63,"Premier League","England","CDM","Midfielder"
"1201","Everton",2147,"https://sofifa.com/player/2147/maarten-stekelenburg/20/159586","M. Stekelenburg","Maarten Stekelenburg",36,"1982-09-22",197,92,"Netherlands",73,73,675000,26000,"GK","Right",2,4,1,"Medium/Medium","Lean","Yes",1300000,"","RES",22,"","2016-07-04",2020,"",NA,NA,NA,NA,NA,NA,NA,71,72,76,73,33,73,"Second Wind",18,11,14,39,11,12,13,13,37,31,30,36,30,72,27,57,55,30,77,11,41,26,12,40,23,59,9,15,14,71,72,76,73,73,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Premier League","England","GK","Goal Keeper"
"1202","Everton",225024,"https://sofifa.com/player/225024/mason-holgate/20/159586","M. Holgate","Mason Holgate",22,"1996-10-22",184,75,"England",75,81,8000000,49000,"RB, CB","Right",1,3,3,"Medium/Medium","Lean","Yes",16800000,"","SUB",2,"","2015-08-13",2022,"",NA,70,42,66,66,76,71,NA,NA,NA,NA,NA,NA,"Leadership",71,37,73,73,40,65,53,35,70,68,68,72,62,74,57,51,69,67,72,42,75,77,50,55,40,68,75,78,77,13,12,9,8,16,58,58,58,62,60,60,60,62,61,61,61,64,65,65,65,64,72,72,72,72,72,73,74,74,74,73,"Premier League","England","RB","Defender"
"1203","Everton",200458,"https://sofifa.com/player/200458/lucas-digne/20/159586","L. Digne","Lucas Digne",25,"1993-07-20",178,74,"France",83,86,28500000,97000,"LB","Left",2,3,3,"High/Medium","Lean","Yes",56300000,"","LB",12,"","2018-08-01",2023,"",NA,78,69,79,79,80,76,NA,NA,NA,NA,NA,NA,"Inflexible, Injury Prone, Argues with Officials",85,60,71,81,68,78,81,83,73,83,79,78,69,83,78,83,92,85,69,76,76,82,72,73,60,79,78,83,84,6,12,9,6,13,74,74,74,77,76,76,76,77,76,76,76,78,78,78,78,78,82,79,79,79,82,81,79,79,79,81,"Premier League","England","LB","Defender"
"1204","Everton",233782,"https://sofifa.com/player/233782/morgan-feeney/20/159586","M. Feeney","Morgan Feeney",20,"1999-02-08",190,77,"England",64,79,925000,10000,"CB","Right",1,2,2,"Low/High","Normal","Yes",2300000,"","RES",48,"","2016-03-21",2020,"",NA,47,32,33,38,64,67,NA,NA,NA,NA,NA,NA,"",35,30,63,34,29,33,33,30,29,42,48,46,35,57,46,45,66,47,75,21,70,63,31,35,45,60,64,65,65,6,13,8,12,10,42,42,42,37,38,38,38,37,36,36,36,38,39,39,39,38,50,52,52,52,50,53,62,62,62,53,"Premier League","England","CB","Defender"
"1205","Everton",236610,"https://sofifa.com/player/236610/moise-kean/20/159586","M. Kean","Moise Kean",19,"2000-02-28",182,79,"Italy",76,89,14500000,43000,"ST","Right",1,3,3,"Medium/Medium","Normal","Yes",36600000,"","SUB",27,"","2019-08-05",2024,"",NA,81,72,50,77,30,68,NA,NA,NA,NA,NA,NA,"",42,77,72,59,70,77,66,43,38,78,80,82,74,72,78,72,75,72,75,60,45,21,78,51,65,72,27,28,16,13,8,10,7,9,74,74,74,70,72,72,72,70,68,68,68,67,59,59,59,67,49,46,46,46,49,47,44,44,44,47,"Premier League","England","ST","Forward"
"1206","Everton",211575,"https://sofifa.com/player/211575/andre-filipe-tavares-gomes/20/159586","André Gomes","André Filipe Tavares Gomes",25,"1993-07-30",188,84,"Portugal",80,84,17500000,76000,"CDM, CM","Right",3,4,4,"Medium/Medium","Lean","Yes",34600000,"","LDM",21,"","2019-06-25",2024,"",NA,65,71,78,80,73,80,NA,NA,NA,NA,NA,NA,"Crowd Favourite",65,67,69,84,69,83,81,67,82,82,63,67,66,78,64,82,59,77,83,73,81,75,74,81,55,84,73,74,67,12,9,6,14,8,74,74,74,75,76,76,76,75,78,78,78,76,79,79,79,76,73,78,78,78,73,72,74,74,74,72,"Premier League","England","CDM","Midfielder"
"1207","Everton",184484,"https://sofifa.com/player/184484/gylfi-sigurdhsson/20/159586","G. Sigurðsson","Gylfi Þór Sigurðsson",29,"1989-09-08",186,77,"Iceland",83,83,25500000,120000,"CAM","Right",3,4,3,"High/High","Normal","Yes",48500000,"#Engine, #Crosser, #FK Specialist","CAM",10,"","2017-08-16",2022,"CAM",10,56,81,84,80,57,69,NA,NA,NA,NA,NA,NA,"Diver, Beat Offside Trap, Argues with Officials, Finesse Shot",86,78,60,85,75,82,87,86,77,85,57,56,68,79,63,84,65,86,65,86,57,55,79,86,79,84,57,57,55,13,8,10,15,12,75,75,75,78,79,79,79,78,80,80,80,79,80,80,80,79,70,70,70,70,70,67,61,61,61,67,"Premier League","England","CAM","Midfielder"
"1208","Everton",172175,"https://sofifa.com/player/172175/kevin-mirallas/20/159586","K. Mirallas","Kevin Mirallas",31,"1987-10-05",182,72,"Belgium",78,78,9000000,75000,"LM, LW, ST","Right",2,4,4,"High/Medium","Lean","Yes",17100000,"","RES",28,"","2012-08-19",2021,"",NA,76,73,76,80,43,61,NA,NA,NA,NA,NA,NA,"Selfish, Argues with Officials, Crowd Favourite",77,71,64,80,75,81,77,76,75,82,77,75,79,74,73,77,68,69,58,72,58,35,76,67,75,73,31,52,51,8,10,14,13,15,73,73,73,76,76,76,76,76,76,76,76,76,72,72,72,76,63,60,60,60,63,60,53,53,53,60,"Premier League","England","LM","Midfielder"
"1209","Everton",164859,"https://sofifa.com/player/164859/theo-walcott/20/159586","T. Walcott","Theo  Walcott",30,"1989-03-16",176,68,"England",77,77,8500000,71000,"RM","Right",3,3,3,"Medium/Medium","Lean","Yes",16200000,"","SUB",11,"","2018-01-17",2021,"",NA,87,72,70,79,39,61,NA,NA,NA,NA,NA,NA,"Beat Offside Trap, Early Crosser",72,73,58,71,71,80,76,74,61,77,87,87,79,76,77,76,62,67,56,65,65,35,75,71,74,74,37,39,36,11,8,9,9,8,73,73,73,76,75,75,75,76,74,74,74,75,67,67,67,75,60,56,56,56,60,57,49,49,49,57,"Premier League","England","RM","Midfielder"
"1210","FC Augsburg",229640,"https://sofifa.com/player/229640/mads-pedersen/20/159586","M. Pedersen","Mads Pedersen",22,"1996-09-01",178,74,"Denmark",68,77,1200000,7000,"LB, LWB, LM","Left",1,3,3,"High/Medium","Normal","No",2400000,"","LB",3,"","2019-07-01",2024,"",NA,85,46,62,71,62,66,NA,NA,NA,NA,NA,NA,"",65,43,48,65,46,70,55,37,62,68,85,85,85,62,87,58,90,79,58,34,64,63,68,63,41,60,65,63,60,8,8,7,9,11,59,59,59,65,63,63,63,65,64,64,64,67,64,64,64,67,67,64,64,64,67,66,62,62,62,66,"Bundesliga","Germany","LB","Defender"
"1211","FC Augsburg",192665,"https://sofifa.com/player/192665/andreas-luthe/20/159586","A. Luthe","Andreas Luthe",32,"1987-03-10",195,85,"Germany",72,72,1900000,13000,"GK","Right",1,3,1,"Medium/Medium","Normal","No",3200000,"","SUB",1,"","2016-07-01",2022,"",NA,NA,NA,NA,NA,NA,NA,74,68,61,76,39,73,"",14,12,15,24,12,12,15,12,19,14,35,43,39,63,34,46,61,36,74,16,22,21,12,49,21,23,16,14,12,74,68,61,73,76,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Bundesliga","Germany","GK","Goal Keeper"
"1212","FC Augsburg",200332,"https://sofifa.com/player/200332/tomas-koubek/20/159586","T. Koubek","Tomáš Koubek",26,"1992-08-26",197,95,"Czech Republic",77,80,8000000,19000,"GK","Right",1,2,1,"Medium/Medium","Normal","No",14200000,"","GK",21,"","2019-08-06",2024,"SUB",16,NA,NA,NA,NA,NA,NA,78,77,72,78,41,75,"Acrobatic Clearance",13,12,13,14,19,17,18,16,20,20,39,43,25,70,29,54,53,33,79,17,31,11,12,39,20,54,14,12,16,78,77,72,75,78,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Bundesliga","Germany","GK","Goal Keeper"
"1213","FC Augsburg",238581,"https://sofifa.com/player/238581/ruben-vargas/20/159586","R. Vargas","Ruben Vargas",20,"1998-08-05",174,68,"Switzerland",70,85,3900000,10000,"RM, LM","Left",1,3,3,"High/Medium","Lean","No",9100000,"","LM",16,"","2019-07-01",2024,"",NA,80,65,64,71,53,63,NA,NA,NA,NA,NA,NA,"",68,65,55,67,62,68,59,48,64,68,84,77,89,63,86,67,50,78,62,64,49,48,65,60,62,61,59,51,45,12,7,5,6,11,65,65,65,68,66,66,66,68,67,67,67,68,64,64,64,68,62,59,59,59,62,61,55,55,55,61,"Bundesliga","Germany","RM","Midfielder"
"1214","FC Augsburg",244490,"https://sofifa.com/player/244490/jozo-stanic/20/159586","J. Stanic","Jozo Stanic",20,"1999-04-06",188,80,"Croatia",60,73,375000,2000,"CB","Right",1,3,2,"Medium/Medium","Lean","No",872000,"","RES",15,"","2018-07-11",2022,"",NA,53,23,36,42,61,61,NA,NA,NA,NA,NA,NA,"",28,19,55,42,18,36,20,27,36,43,54,53,54,54,56,31,62,52,67,22,56,57,23,39,35,40,60,66,62,7,7,12,9,7,37,37,37,37,37,37,37,37,38,38,38,39,41,41,41,39,50,52,52,52,50,53,58,58,58,53,"Bundesliga","Germany","CB","Defender"
